Scenario,ModelCombination,NumItems
Random_HSR,DistilBERT,11
Random_HSR,BERT-base,6
Random_HSR,Ensemble,6
Random_HSR,"BERT-base,DistilBERT,Ensemble,XGBoost",5
Random_HSR,XGBoost,4
Random_HSR,"BERT-base,Ensemble,XGBoost",3
Random_HSR,"BERT-base,Ensemble",2
Random_HSR,"DistilBERT,Ensemble",2
Random_HSR,"BERT-base,DistilBERT",1
Random_HSR,"BERT-base,DistilBERT,Ensemble",1
Random_HSR,"BERT-base,DistilBERT,XGBoost",1
Random_HSR,"BERT-base,XLM-RoBERTa",1
Random_HSR,"DistilBERT,XGBoost",1
Random_HSR,"Ensemble,XGBoost,XLM-RoBERTa",1
Random_PSR,BERT-base,10
Random_PSR,DistilBERT,7
Random_PSR,Ensemble,7
Random_PSR,XGBoost,5
Random_PSR,"BERT-base,DistilBERT,Ensemble,XGBoost",3
Random_PSR,"BERT-base,Ensemble",2
Random_PSR,"BERT-base,DistilBERT",1
Random_PSR,"BERT-base,Ensemble,XGBoost",1
Random_PSR,"Ensemble,XGBoost",1
Random_PSR,XLM-RoBERTa,1
SHAP_GPT,Ensemble,6
SHAP_GPT,BERT-base,4
SHAP_GPT,DistilBERT,3
SHAP_GPT,XGBoost,3
SHAP_GPT,"BERT-base,Ensemble",2
SHAP_GPT,"DistilBERT,Ensemble",2
SHAP_GPT,"BERT-base,DistilBERT",1
SHAP_GPT,"DistilBERT,XGBoost",1
SHAP_GPT+Genre,Ensemble,8
SHAP_GPT+Genre,DistilBERT,3
SHAP_GPT+Genre,XGBoost,3
SHAP_GPT+Genre,BERT-base,2
SHAP_GPT+Genre,"DistilBERT,Ensemble",2
SHAP_GPT+Genre,"BERT-base,Ensemble",1
SHAP_GPT+Genre,"DistilBERT,XGBoost",1
SHAP_HSR,XGBoost,12
SHAP_HSR,"BERT-base,DistilBERT",3
SHAP_HSR,DistilBERT,3
SHAP_HSR,Ensemble,3
SHAP_HSR,BERT-base,1
SHAP_HSR,"BERT-base,DistilBERT,Ensemble,XGBoost",1
SHAP_HSR,"BERT-base,Ensemble,XGBoost",1
SHAP_HSR,"BERT-base,XGBoost",1
SHAP_HSR,"DistilBERT,Ensemble",1
SHAP_HSR,"DistilBERT,Ensemble,XGBoost",1
SHAP_HSR,"Ensemble,XGBoost",1
SHAP_HSR,XLM-RoBERTa,1
SHAP_PSR,XGBoost,5
SHAP_PSR,"BERT-base,DistilBERT",2
SHAP_PSR,DistilBERT,2
SHAP_PSR,Ensemble,2
SHAP_PSR,"BERT-base,Ensemble,XGBoost",1
SHAP_PSR,"BERT-base,XGBoost",1
